SKU_No,Product_Name,Product_Description,Category,Subcategory,Primary_Colour_Family,Gender_Target,Style_Descriptor,Image_URL,Material_Composition,Season,Occasion_Tag,Eco_Score,Style_Reward_Points,Adword_Grouping,Stock_Status,Price_INR,Discount_Percentage,Return_Type
35,Even pile hood,"Hooded jacket in soft, textured-knit cotton with a zip down the front that continues up and around the hood. Ribbing at the cuffs and hem. Soft pile lining.",Garment Upper body,Hoodie,Black,Men,Melange,images/056/0567047001.jpg,Cotton Blend,Autumn,Casual,62,72,garment_upper_body,Out of Stock,2600,63,No return
36,Nelly Coat,"Double-breasted, knee-length coat in a patterned weave containing some wool. Wide notch lapels, long raglan sleeves, a detachable tie belt at the waist, side pockets and a single back vent. Lined.",Garment Upper body,Jacket,Black,Women,Check,images/083/0831545001.jpg,Cotton Blend,Winter,Formal,84,29,garment_upper_body,In Stock,1566,0,15 days return
37,Nan Fur Hooded Jacket,"Short jacket in soft faux fur with a hood, zip down the front with a ring pull and diagonal side pockets. Covered elastication at the cuffs and hem. Recycled polyester lining.",Garment Upper body,Outdoor Waistcoat,Light Beige,Women,Solid,images/086/0868035001.jpg,Cotton Blend,Spring,Party,71,29,garment_upper_body,Low Stock,1688,49,7 days return
38,Wheeler body,"Body in soft jersey with a print motif on the front in a narrow cut at the top with narrow, adjustable shoulder straps and press-studs at the crotch.",Garment Upper body,Vest top,Dark Blue,Women,Placement print,images/068/0687586002.jpg,Cotton Blend,Winter,Party,68,98,garment_upper_body,Out of Stock,1879,41,7 days return
39,V-neck Strap Top.,V-neck top in soft organic cotton jersey with narrow shoulder straps.,Garment Upper body,Vest top,Black,Women,Solid,images/076/0767869001.jpg,Cotton Blend,Winter,Formal,74,94,garment_upper_body,In Stock,1373,42,15 days return
40,Julius dress,"Short, straight-cut dress in pattern-weave fabric with a sheen decorated with plastic sparkly stones front and back. Boat neck and 3/4-length sleeves. Lined.",Garment Full body,Dress,Light Pink,Women,Embroidery,images/079/0795763001.jpg,Cotton Blend,Winter,Formal,94,22,garment_full_body,Out of Stock,4510,56,7 days return
41,EPIC CLASSIC CREW,"Top in sweatshirt fabric with a text print and ribbing around the neckline, cuffs and hem. Soft brushed inside.",Garment Upper body,Sweater,Light Grey,Women,Front print,images/067/0673275003.jpg,Cotton Blend,Summer,Formal,52,46,garment_upper_body,Low Stock,3942,26,15 days return
42,JACKET BASIC 89,"Jacket in washed stretch denim with a collar, buttons down the front, flap chest pockets with a button and buttoned cuffs.",Garment Upper body,Jacket,Blue,Women,Denim,images/055/0556872003.jpg,Cotton Blend,Summer,Sports,68,46,garment_upper_body,Out of Stock,3648,24,15 days return
43,Atomic Dungaree,"Dungarees in stretch twill with adjustable straps, a zipped chest pocket, fake zipped pockets at the front, real back pockets, belt loops at the waist, a zip in the side and slim legs.",Garment Lower body,Trousers,Black,Women,Solid,images/055/0559212001.jpg,Cotton Blend,Autumn,Work,70,98,garment_lower_body,In Stock,2817,45,15 days return
44,Silver dress,"Short, fitted dress in ribbed cotton jersey with a V-neck and narrow shoulder straps.",Garment Full body,Dress,Light Orange,Women,Solid,images/086/0868060003.jpg,Cotton Blend,Spring,Sports,73,12,garment_full_body,In Stock,2370,23,15 days return
45,Keys PQ Denim,"Ankle-length, 5-pocket jeans in washed denim with a high waist, zip fly with a button and kickflare legs.",Garment Lower body,Trousers,Dark Blue,Women,Denim,images/056/0569041002.jpg,Cotton Blend,Autumn,Party,78,54,garment_lower_body,Low Stock,1863,69,15 days return
46,2-p Kayla shorts,"Shorts in soft sweatshirt fabric with a print motif. Ribbed, elasticated drawstring waist and contrasting colour trims down the sides and at the hems.",Garment Lower body,Shorts,Dark Blue,Women,All over pattern,images/073/0738273002.jpg,Cotton Blend,Autumn,Work,84,87,garment_lower_body,In Stock,3396,53,No return
47,Justin 2-p tank SB,Vest tops in cotton jersey. One with an all-over print an one in a solid colour.,Garment Upper body,Vest top,Red,Women,Mixed solid/pattern,images/048/0485546020.jpg,Cotton Blend,Spring,Casual,96,55,garment_upper_body,Out of Stock,1080,8,15 days return
48,York duffel coat,"Duffle coat in soft fleece with a detachable, pile-lined hood, patch front pockets, toggles at the front and a yoke at the back. Pile lining.",Garment Upper body,Jacket,Light Orange,Women,Solid,images/073/0734929005.jpg,Cotton Blend,Winter,Formal,81,14,garment_upper_body,Out of Stock,2247,52,No return
49,Hayes,"Suit trousers in a stretch weave with a regular waist, zip fly and concealed hook-and-eye fastening. Side pockets and tapered legs with creases.",Garment Lower body,Trousers,Dark Blue,Women,Dot,images/056/0568597018.jpg,Cotton Blend,Autumn,Formal,78,48,garment_lower_body,Low Stock,3749,45,No return
50,Ida HW panel jogger,"Trousers in soft sweatshirt fabric made from a cotton blend with an elasticated drawstring waist, side pockets and legs with contrasting colour side stripes and elasticated hems. Soft brushed inside.",Garment Lower body,Trousers,Grey,Women,Solid,images/086/0863024001.jpg,Cotton Blend,Winter,Party,73,34,garment_lower_body,Out of Stock,4083,35,7 days return
51,Macarena,"Top in a crinkled viscose weave with a V-neck front and back, adjustable spaghetti shoulder straps, buttons down the front and a tie-detail hem.",Garment Upper body,Vest top,Black,Women,All over pattern,images/073/0731407002.jpg,Cotton Blend,Winter,Party,50,11,garment_upper_body,In Stock,804,8,7 days return
52,Farrah HW Denim TRS,"Slim-fit jeans in washed, stretch denim with a high waist, zip fly and press-stud, fake front pockets and real back pockets, and flared legs.",Garment Lower body,Trousers,Dark Blue,Women,Solid,images/074/0744437001.jpg,Cotton Blend,Spring,Work,68,50,garment_lower_body,Out of Stock,3451,11,No return
53,Birka romper,"Playsuit in an airy viscose weave with narrow shoulder straps, covered elastication around the top and a flounced trim at the front. Elasticated seam and a sewn-on bow at the waist, and side pockets.",Garment Full body,Jumpsuit/Playsuit,Light Pink,Women,All over pattern,images/082/0823694002.jpg,Cotton Blend,Autumn,Sports,76,75,garment_full_body,Low Stock,3992,16,No return
54,James leggings,"Leggings in stretch, printed cotton jersey with an elasticated waist.",Garment Lower body,Leggings/Tights,Light Beige,Women,All over pattern,images/069/0690964016.jpg,Cotton Blend,Spring,Formal,96,93,garment_lower_body,In Stock,549,49,7 days return
55,Champagne,Short coat in a sturdy wool blend with a concealed zip and wind flap down the front and flap front pockets. Lined.,Garment Upper body,Coat,Grey,Women,Melange,images/051/0511190001.jpg,Cotton Blend,Autumn,Casual,67,34,garment_upper_body,Low Stock,4225,12,15 days return
56,BETTY deal hood,"Long-sleeved top in sweatshirt fabric with a print motif, lined hood and ribbing at the cuffs and hem. Soft brushed inside.",Garment Upper body,Hoodie,Yellow,Women,Placement print,images/076/0769729004.jpg,Cotton Blend,Winter,Formal,96,70,garment_upper_body,Low Stock,1180,22,No return
57,Bono NW slim denim,"5-pocket, ankle-length jeans in washed, slightly stretchy denim with a regular waist, zip fly and button and tapered legs.",Garment Lower body,Trousers,Light Blue,Women,Denim,images/073/0738230001.jpg,Cotton Blend,Autumn,Casual,83,69,garment_lower_body,In Stock,2857,28,15 days return
58,Ally trousers,"Wide trousers in a patterned, softly draping viscose weave with concealed pockets in the side seams and a high waist with wide, covered elastication.",Garment Lower body,Trousers,Black,Women,All over pattern,images/064/0640662009.jpg,Cotton Blend,Autumn,Sports,68,81,garment_lower_body,Out of Stock,3752,1,No return
59,mister muscle SS,"Short-sleeved shirt in a stretch cotton weave with a narrow turn-down collar, French front, yoke and darts at the back and a rounded hem. Muscle fit – a fit designed to showcase the physique. Narrow shoulders, gently tapered sleeves and an accentuated waist to create a flattering silhouette.",Garment Upper body,Shirt,Black,Women,All over pattern,images/061/0618329008.jpg,Cotton Blend,Spring,Casual,65,35,garment_upper_body,Low Stock,4908,51,No return
60,Peter downfree jacket,"Padded jacket in woven fabric with a stand-up collar and zip down the front with a chin guard. Chest pocket, zipped side pockets, an inner pocket with a hook and loop fastener, and a concealed elastic drawstring at the hem. Lined.",Unknown,Unknown,Beige,Women,Solid,images/077/0778645007.jpg,Cotton Blend,Summer,Formal,71,99,unknown,Out of Stock,2191,43,No return
61,ES JAMES LEGGINGS,"Leggings in soft, printed jersey made from a cotton blend with an elasticated waist.",Garment Lower body,Leggings/Tights,Dark Blue,Women,All over pattern,images/069/0693312003.jpg,Cotton Blend,Winter,Work,70,10,garment_lower_body,In Stock,3114,24,7 days return
62,ES Cleo shirtdress,"Dress in a cotton weave with a collar, button placket and long sleeves with a tab and button. Pockets in the side seams, a detachable imitation suede belt and a rounded hem.",Garment Full body,Dress,Pink,Women,Check,images/076/0761105001.jpg,Cotton Blend,Autumn,Work,62,17,garment_full_body,In Stock,3832,47,15 days return
63,KOI Relaxed pants brushed wool,"Trousers in soft, brushed wool twill with elastication and a concealed drawstring at the waist. Zip fly with a concealed hook-and-eye fastener, side pockets and welt back pockets with a button. Slightly lower crotch and tapered legs with creases.",Garment Lower body,Trousers,Dark Grey,Women,Melange,images/055/0550822002.jpg,Cotton Blend,Autumn,Sports,77,25,garment_lower_body,Out of Stock,3133,44,15 days return
64,Palmita tee,Short-sleeved top in printed cotton jersey.,Garment Upper body,T-shirt,Light Purple,Women,All over pattern,images/079/0796535002.jpg,Cotton Blend,Autumn,Party,68,75,garment_upper_body,Low Stock,3848,2,No return
65,Shorts HW Pull On,"Shorts in softly draping denim made from a Tencel™ lyocell blend. High, frill-trimmed waist with covered elastication, and pockets in the side seams.",Garment Lower body,Shorts,Green,Women,Denim,images/087/0873428004.jpg,Cotton Blend,Winter,Work,80,50,garment_lower_body,Out of Stock,631,3,15 days return
66,Milan top,Wide top in soft jersey with a print motif on the front and short dolman sleeves. Rounded and slightly longer at the back.,Garment Upper body,T-shirt,Light Pink,Women,Front print,images/059/0597513002.jpg,Cotton Blend,Spring,Work,92,17,garment_upper_body,Out of Stock,4725,28,15 days return
67,NATE  basic S/S solid tee BB,T-shirt in soft organic cotton jersey.,Garment Upper body,T-shirt,Light Blue,Women,Solid,images/026/0260736025.jpg,Cotton Blend,Autumn,Casual,65,48,garment_upper_body,Low Stock,3075,20,7 days return
68,Cecile,Straight-cut dress in a textured weave with narrow double shoulder straps with one pair that cross at the back. Unlined.,Garment Full body,Dress,Greenish Khaki,Women,Solid,images/051/0516789002.jpg,Cotton Blend,Summer,Casual,94,37,garment_full_body,Out of Stock,4250,23,15 days return
69,LUMIERE,"Jumper in a soft knit containing some alpaca wool with a ribbed turtleneck collar, long raglan sleeves and ribbing at the cuffs and hem.",Garment Upper body,Sweater,Dark Orange,Women,Solid,images/054/0542051003.jpg,Cotton Blend,Winter,Sports,98,91,garment_upper_body,Low Stock,4129,45,No return
70,Ozzy Denim Dungaree,"Short dungaree shorts in washed stretch denim with a chest pocket and adjustable straps. Buttons at the sides, a fake fly, fake front pockets, real back pockets and sewn-in turn-ups at the hems.",Garment Full body,Dungarees,Black,Women,Solid,images/061/0612295005.jpg,Cotton Blend,Spring,Formal,91,51,garment_full_body,Out of Stock,2512,61,15 days return
71,Alia cropped sweater,"Cropped top in sweatshirt fabric with dropped shoulders, long sleeves and ribbing around the neckline, cuffs and hem. Soft brushed inside.",Garment Upper body,Sweater,Dark Yellow,Women,Solid,images/054/0540742022.jpg,Cotton Blend,Autumn,Sports,53,61,garment_upper_body,Out of Stock,3293,0,7 days return
72,Stadium trouser,"Relaxed-fit joggers in a nylon weave with a regular, elasticated drawstring waist, fake fly and zipped side pockets. Tapered legs with block-patterned sections and elasticated hems.",Garment Lower body,Trousers,Red,Women,Colour blocking,images/074/0742347001.jpg,Cotton Blend,Autumn,Sports,95,13,garment_lower_body,In Stock,2208,25,No return
73,Grapevine Tee,Short T-shirt in cotton jersey with a motif on the front and an elasticated hem.,Garment Upper body,T-shirt,Black,Women,Placement print,images/059/0598691001.jpg,Cotton Blend,Spring,Party,69,59,garment_upper_body,In Stock,4051,37,15 days return
74,Connor dress,"Short, sleeveless dress in airy chiffon with elastication and a frill trim at the top, narrow shoulder straps and an elasticated seam at the waist. Jersey lining.",Garment Full body,Dress,Dark Green,Women,All over pattern,images/063/0636437002.jpg,Cotton Blend,Spring,Casual,55,13,garment_full_body,Low Stock,2646,21,15 days return
75,Tom cargo shorts,"Shorts in washed cotton with an adjustable, elasticated waist and a zip fly and button. Side pockets, leg pockets and fake welt back pockets with a flap and hook and loop fastening.",Garment Lower body,Shorts,Dark Blue,Women,Solid,images/071/0711074005.jpg,Cotton Blend,Autumn,Casual,94,38,garment_lower_body,In Stock,1495,37,15 days return
76,W SARK SKIRT EQ,"Knee-length satin skirt with a high waist with wide elastication and a detachable tie belt, and side pockets. Unlined.",Garment Lower body,Skirt,Black,Teen Boys,Solid,images/066/0665676001.jpg,Cotton Blend,Autumn,Casual,56,91,garment_lower_body,Out of Stock,4768,53,7 days return
77,SIRPA,"Jumper in a soft knit with a slightly wider neckline and long sleeves. Ribbing around the neckline, cuffs and hem.",Garment Upper body,Sweater,Dark Red,Teen Boys,Melange,images/050/0501820003.jpg,Cotton Blend,Summer,Casual,62,84,garment_upper_body,Low Stock,4916,39,7 days return
78,SPEED MADISON PLEET SKIRT,"Calf-length, pleated skirt in a patterned weave with a concealed zip in one side. Unlined.",Garment Lower body,Skirt,Black,Teen Boys,All over pattern,images/064/0640241001.jpg,Cotton Blend,Winter,Sports,51,99,garment_lower_body,In Stock,3539,4,No return
79,ED Yen shell top,"Short-sleeved blouse in a viscose crêpe weave with an opening and concealed button at the back of the neck, and a rounded hem.",Garment Upper body,Blouse,Black,Teen Boys,Solid,images/069/0698270002.jpg,Cotton Blend,Autumn,Formal,94,27,garment_upper_body,In Stock,3124,53,7 days return
80,Oliver Hood (1),"Sporty jacket in sturdy jersey with a zip down the front and a mesh-lined hood with an elastic drawstring. Chest pocket with a concealed zip, side pockets, ribbed cuffs and narrow elastication at the hem.",Garment Upper body,Hoodie,Black,Teen Boys,All over pattern,images/053/0533404050.jpg,Cotton Blend,Spring,Work,78,75,garment_upper_body,In Stock,666,7,No return
81,Ruby,Sleeveless dress in a cotton weave with buttons at the back and flounces at the front that continue over the shoulders and down the back. Partly lined.,Garment Full body,Dress,White,Teen Boys,All over pattern,images/083/0831008005.jpg,Cotton Blend,Winter,Work,78,22,garment_full_body,In Stock,3476,62,No return
82,Moma,Blouse in a crêpe weave with short trumpet sleeves and a round hem. Slightly longer at the back.,Garment Upper body,Blouse,Off White,Teen Boys,All over pattern,images/062/0622314008.jpg,Cotton Blend,Winter,Party,81,40,garment_upper_body,In Stock,2327,43,15 days return
83,Jules,Single-breasted jacket in a linen and viscose weave with notch lapels and flap welt front pockets. Lined.,Garment Upper body,Blazer,Light Beige,Teen Boys,Solid,images/081/0817352003.jpg,Cotton Blend,Autumn,Sports,68,86,garment_upper_body,In Stock,4711,58,7 days return
84,Stephanie,Long-sleeved top in stretch jersey with a wide neckline and gathers at the sides for best fit over the tummy.,Garment Upper body,Top,Light Blue,Teen Boys,Melange,images/082/0820032002.jpg,Cotton Blend,Summer,Casual,64,85,garment_upper_body,In Stock,2390,58,No return
85,Alm Trench,"Knee-length, double-breasted trenchcoat in a stretch weave with a wide collar and concealed hook-and-eye fastener at the top. Shoulder tabs with a button, a detachable belt at the waist, side pockets and a single back vent. Recycled polyester lining.",Garment Upper body,Jacket,Beige,Teen Boys,Solid,images/083/0835348001.jpg,Cotton Blend,Winter,Sports,59,35,garment_upper_body,In Stock,2292,48,No return
86,Moby,Long-sleeved top in a stretch weave with a seam at the bust and concealed zip at the back.,Garment Upper body,Shirt,Dark Grey,Teen Boys,Solid,images/053/0538276001.jpg,Cotton Blend,Winter,Casual,51,92,garment_upper_body,Out of Stock,3957,18,15 days return
87,Piper top,"Short top in soft jersey with narrow shoulder straps, a zip in one side and wide lace trim at the hem.",Garment Upper body,Vest top,White,Teen Boys,All over pattern,images/061/0611584005.jpg,Cotton Blend,Autumn,Sports,94,57,garment_upper_body,Out of Stock,3048,25,7 days return
88,Pernilla basic denim,"Jeans in soft, stretch denim with an elasticated waist, fake fly, fake front pockets and real back pockets.",Garment Lower body,Trousers,Off White,Teen Boys,Solid,images/080/0809392002.jpg,Cotton Blend,Winter,Sports,57,28,garment_lower_body,Out of Stock,4218,43,7 days return
89,Porcupine trench coat,"Trenchcoat in a lightweight weave with notch lapels, shoulder tabs with decorative buttons, long sleeves with sewn-in turn-ups, side pockets and a detachable tie belt. Unlined.",Garment Upper body,Coat,Black,Teen Boys,Solid,images/055/0555432001.jpg,Cotton Blend,Summer,Work,79,89,garment_upper_body,Out of Stock,977,16,7 days return
90,Alex shorts,Shorts in lightweight sweatshirt fabric with an elasticated drawstring waist and contrasting colour trims.,Garment Lower body,Shorts,Dark Blue,Teen Boys,Contrast,images/075/0758397002.jpg,Cotton Blend,Spring,Work,50,39,garment_lower_body,Low Stock,4831,3,7 days return
91,Johanna,"Top in ribbed jersey containing glittery threads. V-neck, spaghetti shoulder straps and a straight-cut hem.",Garment Upper body,Sweater,Black,Teen Boys,Glittering/Metallic,images/071/0716759002.jpg,Cotton Blend,Summer,Work,69,14,garment_upper_body,Low Stock,834,65,15 days return
